0,0,0,0,0,0,4,2,0,0,12,0,1,2,3,0,2,4,0,5,0,0,0,1,0,0,4,0,10,7,0,0,0,0,0,0,0,9,1,5,5,0,0,0,1,0,0,0,6,1,4,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,9,0,1,0,3,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,3,2,0,1,1,0,0,0,0,1,5,0,0,0,6,0,1,1,2,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,6,0,0,6,6,0,0,1,0,2,0,0,1,1,1,0,4,1,1,0,3,0,1,0,0,1,0,1,1,2,0,0,0,1,0,1,0,2,0,0,1,1,0,2,0,0,0,3,0,0,0,0,0,6,0,0,3,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,2,0,4,1,5,0,0,0,3,2,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1
2,2,0,0,3,0,1,2,0,4,10,2,0,0,3,0,2,5,2,1,0,3,0,1,0,0,9,0,7,6,0,0,0,0,0,3,1,5,1,5,3,0,0,0,1,0,0,0,6,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,1,0,4,0,11,1,2,0,5,1,3,0,1,0,0,0,0,0,0,1,1,0,2,0,0,2,0,4,0,5,1,2,3,0,0,1,0,1,3,3,0,1,0,4,0,0,0,2,0,4,0,2,0,0,0,0,1,2,0,1,0,0,0,1,6,0,0,5,2,1,0,2,0,3,0,0,1,0,0,0,3,0,0,0,1,1,3,1,1,5,0,0,2,3,0,0,0,1,0,0,2,3,1,0,1,2,0,0,2,3,0,0,1,0,1,0,2,7,0,2,3,1,2,3,0,0,1,1,0,0,0,0,1,2,0,0,1,2,1,0,0,0,0,2,0,0,7,0,5,1,1,0,6,1,0,0,3,0,0,0,0,1,2,1,2,0,0,0,5,0,0,0,0,1
2,1,1,0,0,0,2,0,2,1,10,1,0,0,1,1,5,7,1,1,0,0,0,0,0,3,7,0,7,9,1,1,0,0,0,0,0,7,0,5,2,0,1,1,0,0,0,0,7,5,1,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,2,0,2,0,0,0,0,0,2,2,0,0,0,6,0,0,0,2,0,2,0,1,0,0,3,0,0,0,0,1,0,0,0,0,6,0,0,6,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,3,2,0,0,0,2,1,0,0,3,0,2,0,1,1,0,0,2,0,2,0,1,0,0,0,0,1,1,2,0,1,0,0,6,1,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,0,6,2,2,0,6,1,0,0,2,0,0,0,0,0,1,0,1,1,1,1,5,5,0,0,0,0
1,0,3,0,2,0,2,0,1,0,7,1,1,0,0,2,2,10,1,0,0,0,0,0,0,1,7,0,4,6,0,0,3,2,1,6,1,4,2,5,1,0,2,0,0,1,0,0,4,3,1,1,0,0,3,0,1,2,1,1,0,2,1,0,0,1,0,0,0,3,0,1,1,3,0,0,0,2,0,0,1,1,0,1,2,1,10,0,0,0,7,3,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,1,2,4,0,0,0,0,0,3,1,1,0,0,1,1,0,0,2,1,4,0,0,0,0,1,0,1,2,0,1,0,0,0,0,5,0,0,4,5,0,0,0,0,5,0,1,3,0,1,0,2,3,0,0,3,0,2,0,1,3,0,1,1,3,0,1,1,1,0,0,1,3,1,0,0,3,1,1,0,0,0,2,0,0,1,0,0,4,0,2,2,1,0,2,2,0,2,1,0,0,0,1,0,1,0,4,1,0,0,0,0,0,0,0,2,0,1,1,3,1,1,0,4,1,1,0,0,0,0,1,0,2,0,0,5,0,2,2,5,4,0,0,2,0
0,0,2,3,5,0,2,0,1,0,14,1,1,0,2,1,0,6,0,2,0,2,0,0,1,1,2,0,6,7,0,0,0,0,0,0,0,7,1,2,4,1,0,0,0,0,0,0,6,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,1,0,2,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,6,1,0,1,0,0,0,0,0,1,4,0,1,0,6,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,6,1,1,0,1,0,3,0,0,1,0,2,0,1,1,2,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,2,0,0,1,1,0,7,0,0,3,2,1,2,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,3,0,6,1,0,1,5,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,1,0,1,0,0,2,0,0,0,8,1,1,0,2,3,1,2,0,3,1,2,0,0,0,2,3,0,8,6,0,1,1,0,0,2,1,5,0,2,3,0,0,1,2,0,0,0,4,1,3,1,0,1,2,1,3,0,0,2,0,2,0,1,0,0,0,0,0,1,0,4,1,1,0,0,0,1,0,0,1,0,0,0,4,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,1,4,0,0,0,2,3,1,0,0,1,0,3,3,0,0,0,3,0,0,1,3,0,2,3,1,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,5,3,2,0,0,0,2,1,0,1,1,3,0,1,2,0,1,5,0,3,0,0,3,4,0,2,4,1,0,0,1,2,2,1,5,0,2,1,2,0,0,0,1,0,3,0,1,1,0,1,8,0,1,2,3,0,0,1,0,3,1,0,0,1,0,3,3,1,2,4,1,0,1,0,0,0,1,2,0,1,0,4,0,0,1,5,1,1,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0
0,0,1,0,1,0,1,0,0,3,6,1,0,0,1,0,0,7,1,3,1,3,0,0,0,2,7,0,10,6,0,0,0,0,0,1,0,6,1,4,2,0,0,0,0,0,0,0,4,1,1,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,4,1,9,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,4,1,1,4,1,0,0,0,0,4,4,0,1,0,2,0,0,0,1,0,3,3,1,0,0,1,0,0,1,0,1,0,0,1,0,4,2,0,5,3,1,0,0,0,6,0,0,4,0,2,1,0,3,1,1,1,0,3,0,1,5,0,2,0,4,0,1,0,1,0,2,0,3,3,0,0,2,0,0,2,1,0,4,1,0,2,1,0,6,0,0,4,1,0,2,2,0,0,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,1,2,0,4,0,4,1,0,0,3,1,3,0,3,2,0,0,0,0,0,1,1,0,0,1,2,1,2,0,0,0
0,0,0,1,4,0,3,3,0,1,13,2,0,0,2,0,1,5,3,3,1,0,0,0,0,0,3,2,7,7,0,0,1,0,0,1,2,8,0,2,7,0,2,4,1,0,0,0,6,2,5,0,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,4,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,3,3,1,7,0,0,0,3,6,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,1,0,4,1,4,0,2,2,0,0,1,0,0,2,6,0,0,0,6,0,2,2,3,1,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,6,1,0,7,5,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,2,0,0,1,3,2,0,0,3,0,0,3,4,0,0,1,1,0,0,0,0,0,2,0,2,1,2,0,9,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,3,1,2,3,0,0,0,2,0,0,1,3,3,4,0,6,1,1,1,3,0,0,0,4,0,0,0,2,0,0,0,1,0,0,1,4,1,0,1,0,1
1,1,0,1,1,0,3,0,1,1,9,0,1,0,1,0,3,8,0,0,0,0,0,0,1,0,1,1,8,8,0,0,0,0,0,1,1,8,0,4,2,0,0,0,0,0,0,0,7,3,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,0,1,0,9,0,0,0,5,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,6,0,0,1,1,0,0,1,1,2,3,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,7,4,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,3,1,1,8,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,3,0,5,0,0,0,5,1,0,0,0,0,0,0,1,0,2,0,4,0,0,3,0,1,0,0,0,2
1,0,1,1,0,0,0,0,0,1,3,1,0,0,0,1,2,4,1,0,1,0,0,0,0,0,7,0,7,10,0,0,2,0,0,2,0,3,0,5,2,1,1,1,0,0,0,1,3,1,2,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,3,2,0,6,0,0,0,4,0,0,0,1,0,0,0,0,0,2,2,0,3,0,0,0,0,2,0,1,0,1,1,5,0,0,0,0,0,4,1,0,0,0,1,0,1,0,1,2,5,0,0,0,0,0,0,0,1,1,4,1,0,0,0,4,2,1,6,5,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,5,2,1,0,6,0,0,0,1,0,2,1,4,0,0,0,4,0,0,0,0,0,1,2,1,0,1,1,5,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,2,0,2,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,1,0,1,6,1,0,1,0,0
0,1,1,0,2,0,3,1,1,2,13,2,1,0,1,1,0,9,0,2,0,0,0,0,0,0,3,2,11,8,0,1,1,0,0,3,1,7,0,5,5,0,0,0,2,0,0,0,6,0,6,1,0,0,2,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,1,0,1,2,5,0,11,0,0,1,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,4,1,8,2,0,2,0,0,2,0,0,2,0,0,1,0,6,1,0,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0,7,0,1,7,4,0,1,0,1,2,1,0,0,0,2,0,1,0,1,0,2,1,2,0,1,3,0,0,0,3,0,2,0,0,1,1,1,2,1,0,1,1,0,1,0,1,0,2,0,0,0,0,0,8,0,3,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,5,3,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,1,4,3,4,1,3,0,0,7,0,1,0,1,3,0,6,0,0,0,0,0,1,0,1,9,1,6,5,0,0,1,0,0,1,1,4,1,1,5,0,0,0,1,0,0,0,4,3,6,0,0,0,3,0,1,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,4,0,7,0,0,0,3,2,3,0,1,0,0,0,1,0,3,1,0,2,0,0,0,0,4,6,2,3,0,1,5,0,0,0,2,1,6,4,0,1,0,4,0,0,0,1,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,4,0,4,5,0,0,0,0,3,0,0,0,0,1,2,1,0,0,0,3,1,2,1,2,4,1,0,1,4,0,0,0,0,0,0,0,5,1,2,1,2,3,0,0,0,0,2,0,0,2,2,2,6,0,3,1,0,1,3,0,0,2,0,0,0,4,1,1,1,1,0,2,0,3,0,0,0,0,1,1,1,4,2,2,1,1,0,2,1,3,0,1,1,0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0
0,0,0,0,4,0,4,0,3,3,10,1,0,0,1,0,1,10,2,0,0,0,2,0,1,2,4,1,6,5,0,0,0,0,0,1,0,5,1,2,3,0,0,0,0,0,1,0,5,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,2,0,3,0,4,1,10,0,1,1,5,0,3,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,2,0,2,1,1,4,1,0,0,2,0,3,6,0,0,0,5,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,5,0,0,5,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,4,0,0,2,3,0,0,0,1,0,0,1,3,0,1,1,3,0,0,1,0,2,2,0,0,0,0,1,6,0,1,2,0,0,3,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,2,1,0,0,3,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0
0,0,1,2,1,3,5,0,2,1,9,0,3,0,1,0,1,8,0,0,0,0,0,0,0,0,5,1,7,7,0,0,2,0,1,2,1,6,0,4,3,0,0,0,2,0,0,0,6,2,6,1,0,0,2,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,14,0,0,0,5,0,0,0,1,1,1,1,0,0,1,2,0,2,0,0,4,0,1,3,1,2,0,0,2,0,0,0,2,0,2,4,0,1,1,7,0,2,0,0,0,3,1,0,0,0,2,0,1,0,0,2,0,2,0,2,6,1,0,6,4,1,0,0,0,3,0,0,2,0,0,0,0,1,0,0,2,1,1,0,0,5,0,0,3,4,0,1,0,2,1,1,1,3,1,0,0,2,0,0,0,0,0,2,0,0,2,0,1,6,0,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0
1,1,2,0,2,0,1,1,1,0,8,0,1,0,3,2,0,4,0,3,0,0,0,0,0,0,4,0,11,12,0,0,0,0,0,0,0,6,0,5,3,2,1,0,2,0,0,0,5,2,4,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,3,0,3,0,1,4,1,0,0,3,0,2,4,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,7,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,2,0,1,0,5,2,0,0,4,2,0,0,2,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,1,0
0,0,1,0,0,0,4,2,2,0,6,0,1,0,3,1,1,11,0,4,1,0,0,2,0,1,2,0,7,6,0,0,0,0,0,1,1,8,0,6,1,0,0,0,1,1,0,0,5,1,2,1,1,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,2,0,1,0,7,0,1,1,2,0,2,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,5,0,2,1,0,2,0,0,0,0,0,1,3,0,0,0,5,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,2,0,6,3,0,0,0,1,1,0,0,2,0,1,0,2,0,1,0,1,0,0,0,0,2,1,0,1,2,0,0,0,0,1,1,1,1,0,0,0,1,0,2,0,0,0,2,1,0,0,1,0,6,0,2,3,0,0,1,1,0,0,0,0,0,2,1,0,1,2,1,0,0,0,2,0,1,0,1,1,1,1,0,5,1,0,0,4,0,1,0,0,0,1,0,1,1,2,3,0,2,0,3,1,0,0,0,0,1
0,0,1,4,1,0,4,2,3,1,11,0,2,0,0,1,1,7,0,2,0,0,0,1,1,0,2,0,8,8,0,2,0,0,1,0,1,6,0,5,4,0,0,0,2,0,0,0,6,1,7,0,0,1,3,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,5,2,0,12,0,0,0,4,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,4,0,0,1,1,0,0,1,0,1,8,0,0,0,7,0,0,1,1,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,7,6,2,0,0,2,2,0,1,2,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,2,0,2,0,2,0,0,2,1,1,0,0,2,0,0,1,1,0,3,0,0,2,1,1,8,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,3,0,1,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,3,0,0,2,2,1,0,1,0,4,3,1,0,1,0,1,10,1,0,0,1,0,0,0,1,10,0,8,7,0,1,1,0,0,3,0,4,0,5,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,1,1,0,1,0,1,1,4,0,9,1,0,1,4,1,3,0,0,0,0,0,0,0,0,2,1,1,3,0,1,0,0,3,1,2,0,1,5,0,3,0,4,0,4,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,1,0,0,1,5,1,0,4,2,1,0,1,0,4,1,0,3,0,0,0,0,0,0,0,3,0,2,0,0,5,1,1,2,6,0,0,0,0,0,3,0,5,1,0,1,4,0,0,1,1,0,2,0,0,0,0,0,8,0,0,2,0,0,4,2,0,2,1,0,0,0,3,2,3,1,1,1,1,1,0,0,1,0,1,2,0,2,0,2,1,0,0,1,0,0,0,3,1,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0
0,0,2,2,1,0,6,1,2,1,14,1,2,1,0,0,1,6,0,3,0,0,0,0,0,1,6,0,11,9,0,0,3,0,0,1,1,7,2,7,0,0,0,1,1,0,0,0,5,1,10,1,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,2,1,0,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,7,3,2,3,0,0,0,0,0,3,7,0,0,0,7,0,0,0,1,0,3,1,1,0,0,1,1,0,0,1,0,2,0,0,0,5,1,0,6,2,0,0,0,1,4,0,0,3,0,5,1,0,1,0,0,8,0,1,0,0,3,0,2,2,5,1,1,0,3,0,0,0,3,0,1,0,2,0,0,1,0,0,3,0,0,0,0,2,7,0,1,4,0,0,2,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,2,5,0,4,3,1,0,5,2,2,1,2,0,0,0,2,1,1,0,1,2,0,2,2,2,0,0,0,0
0,2,0,0,3,0,1,1,3,3,10,1,1,1,0,0,0,6,0,2,2,0,0,1,0,3,4,1,9,7,0,0,0,1,1,1,1,10,1,4,3,1,0,0,2,1,1,1,5,1,6,0,0,0,5,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,1,2,8,1,0,1,2,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,2,0,0,3,1,0,0,0,0,1,2,0,0,0,5,0,0,0,2,0,1,0,0,1,0,1,0,2,1,2,0,0,1,0,0,7,0,0,7,5,1,0,0,0,2,0,0,0,3,0,0,1,0,0,0,6,1,1,0,0,2,0,0,4,2,0,1,1,1,0,3,2,3,1,2,0,1,3,0,0,0,0,3,1,0,2,1,0,8,0,0,3,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,1,2,1,0,5,0,1,0,6,3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,1,0
0,1,1,2,2,0,1,0,1,1,8,0,1,0,0,1,0,10,0,2,0,1,0,0,0,1,4,0,7,7,0,0,2,0,1,3,1,6,0,3,1,0,0,0,0,0,0,0,5,3,3,0,2,0,0,0,2,0,1,0,1,1,0,0,0,1,1,0,0,0,1,6,3,0,0,1,0,2,0,0,0,1,0,0,0,0,10,0,0,0,5,0,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,1,2,0,0,3,1,0,0,0,0,3,1,0,0,0,5,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,1,2,0,0,0,5,2,0,6,4,0,1,0,0,2,0,0,2,0,2,0,1,0,1,0,2,0,1,0,0,3,0,0,2,3,0,0,0,0,0,0,0,5,1,1,0,2,0,0,1,1,1,2,0,0,0,1,0,6,0,0,3,0,0,3,0,1,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,2,2,2,0,4,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0
0,1,1,0,1,2,3,2,3,4,8,2,2,0,1,1,0,9,1,1,1,0,0,1,1,0,4,1,7,7,0,1,2,0,0,3,2,4,2,2,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,6,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,0,3,1,0,0,1,0,3,4,0,0,1,4,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,5,2,0,0,0,0,3,0,0,1,1,2,1,1,0,0,1,3,0,0,0,0,3,0,0,3,3,0,0,1,1,1,1,1,3,1,1,0,2,0,0,1,1,0,2,0,1,4,1,0,6,0,3,3,1,0,2,2,0,2,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2,0,2,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0
0,0,1,0,1,0,1,0,0,0,5,1,1,0,1,1,0,5,0,0,0,0,1,1,0,0,5,1,6,7,0,0,2,0,0,1,2,7,0,2,3,0,0,0,0,1,0,0,6,0,5,1,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,9,1,0,0,4,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,1,3,2,0,2,0,0,0,0,0,2,3,0,0,0,6,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,3,0,1,0,4,0,1,0,1,2,1,2,3,0,0,1,1,0,0,1,0,1,4,0,0,3,0,1,9,0,0,6,1,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,3,0,0,0,0
1,0,0,2,0,0,2,0,3,1,7,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,6,0,5,7,0,2,0,0,1,1,0,6,1,1,2,0,0,0,0,0,0,0,4,2,3,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,1,0,0,0,0,1,3,5,1,6,0,1,2,2,0,1,1,1,0,2,0,0,0,3,0,0,2,0,0,0,0,0,3,0,1,1,1,3,1,0,0,0,0,2,3,0,0,1,4,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,2,1,1,1,0,5,2,0,4,3,0,0,0,0,3,0,0,1,0,2,0,1,1,0,0,2,0,1,0,0,3,0,1,2,6,0,1,0,0,1,2,1,4,0,2,1,1,2,1,0,2,0,0,1,0,1,0,0,7,0,4,0,1,0,4,1,0,6,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,4,0,0,1,2,1,0,0,1,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,1
0,2,3,1,7,0,2,1,0,1,13,0,2,0,1,2,0,6,0,4,0,0,0,0,0,0,2,0,8,9,0,0,0,0,2,1,1,7,1,7,3,0,0,0,1,0,0,0,5,2,7,0,1,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,1,0,0,1,2,0,5,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,1,2,2,0,2,0,0,0,1,0,2,4,0,0,3,4,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,1,1,6,2,0,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,1,1,2,0,1,0,0,0,2,1,2,2,1,1,1,0,0,0,1,0,1,0,0,2,0,0,7,0,0,2,2,0,2,0,1,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,1,4,1,1,0,6,0,1,2,0,1,0,0,1,0,0,0,0,1,0,4,1,0,0,1,0,0
0,1,0,0,2,0,3,2,3,1,9,2,2,1,3,2,0,8,1,1,1,0,0,0,0,0,9,1,6,11,1,0,3,0,0,2,0,6,2,3,0,1,2,0,3,0,0,0,5,1,5,0,0,5,1,1,0,1,0,3,0,1,0,0,0,2,0,0,0,2,2,3,2,2,1,0,0,3,1,1,0,1,0,1,4,1,11,0,1,0,2,1,0,0,1,2,0,0,0,0,3,1,0,0,1,0,2,1,1,4,1,2,0,1,3,0,0,3,0,0,3,2,0,0,0,4,1,6,0,3,0,4,1,1,0,0,5,0,0,0,2,2,0,0,1,4,6,3,0,5,3,0,0,0,2,4,0,1,3,1,1,0,1,2,2,1,4,1,2,1,0,3,1,0,3,3,0,0,1,0,0,1,2,4,1,0,1,2,0,2,1,1,0,1,2,2,0,0,1,7,1,3,7,2,0,2,2,0,4,2,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,3,2,1,1,0,5,0,0,0,5,0,1,1,3,1,0,0,1,1,0,0,0,4,0,2,10,3,0,0,0,0
2,0,0,1,2,0,0,2,1,0,8,0,0,0,1,1,1,10,0,2,1,1,1,0,0,1,8,3,7,7,1,1,1,0,0,2,0,4,0,3,3,0,0,0,0,0,0,0,4,1,2,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,2,4,0,10,1,0,1,1,1,1,1,0,0,2,0,0,0,1,3,0,1,0,0,0,1,0,1,0,7,0,2,5,1,0,0,2,0,2,7,0,0,1,5,0,0,1,2,1,4,0,3,0,0,0,0,2,0,0,2,1,0,1,1,5,0,0,4,1,1,1,0,0,4,0,1,2,0,0,0,2,1,0,0,1,0,1,0,0,4,0,0,2,3,0,1,1,1,1,1,0,3,1,1,0,3,2,0,1,1,0,2,0,0,0,0,1,6,0,3,4,1,0,2,1,0,7,1,1,0,1,3,1,1,0,2,0,3,2,0,0,0,0,0,1,1,1,0,4,0,2,0,1,3,1,0,1,0,0,0,1,0,2,0,2,2,0,0,2,2,0,0,0,0
